"Label (Grouping)","Colorado!!Number!!Estimate","Colorado!!Number!!Margin of Error","Colorado!!Percent Distribution!!Estimate","Colorado!!Percent Distribution!!Margin of Error","Colorado!!Mean income (dollars)!!Estimate","Colorado!!Mean income (dollars)!!Margin of Error","Weld County, Colorado!!Number!!Estimate","Weld County, Colorado!!Number!!Margin of Error","Weld County, Colorado!!Percent Distribution!!Estimate","Weld County, Colorado!!Percent Distribution!!Margin of Error","Weld County, Colorado!!Mean income (dollars)!!Estimate","Weld County, Colorado!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","","","","","",""
"All households","2,139,207","±8,774","2,139,207","±8,774","92,465","±963","104,611","±1,323","104,611","±1,323","83,706","±3,320"
"    With earnings","1,752,070","±11,134","81.9%","±0.3","92,008","±1,034","87,321","±2,065","83.5%","±1.5","83,595","±3,658"
"        With wages or salary income","1,689,644","±11,417","79.0%","±0.4","89,469","±902","85,498","±2,072","81.7%","±1.5","79,813","±3,065"
"        With self-employment income","285,506","±8,121","13.3%","±0.4","35,143","±2,309","12,648","±1,372","12.1%","±1.2","37,612","±10,257"
"    With interest, dividends, or net rental income","514,490","±9,123","24.1%","±0.4","21,371","±1,171","20,769","±1,580","19.9%","±1.5","20,153","±6,042"
"    With Social Security income","551,865","±6,434","25.8%","±0.3","18,980","±233","26,967","±1,456","25.8%","±1.4","16,933","±1,004"
"    With Supplemental Security Income (SSI)","75,200","±4,159","3.5%","±0.2","10,236","±317","3,736","±912","3.6%","±0.9","8,981","±1,012"
"    With cash public assistance income or Food Stamps/SNAP","175,538","±6,221","8.2%","±0.3","(X)","(X)","9,287","±1,368","8.9%","±1.3","(X)","(X)"
"        With cash public assistance","43,265","±3,272","2.0%","±0.2","2,866","±267","3,032","±770","2.9%","±0.7","3,637","±1,444"
"    With retirement income","363,360","±6,654","17.0%","±0.3","29,926","±854","15,681","±1,402","15.0%","±1.3","25,807","±2,903"
"    With other types of income","241,947","±6,919","11.3%","±0.3","13,882","±486","10,259","±1,624","9.8%","±1.6","12,916","±2,333"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","","","","","",""
"    All families","1,366,807","±9,822","1,366,807","±9,822","109,022","±1,369","76,368","±1,905","76,368","±1,905","94,945","±4,520"
"        No workers","166,528","±4,876","12.2%","±0.4","62,718","±2,451","7,762","±1,142","10.2%","±1.5","48,424","±6,131"
"        1 worker","414,020","±10,045","30.3%","±0.7","86,998","±2,612","23,220","±2,092","30.4%","±2.5","82,546","±12,280"
"        2 workers, husband and wife worked","503,830","±10,339","36.9%","±0.7","137,046","±2,395","28,491","±1,931","37.3%","±2.4","113,201","±7,709"
"        2 workers, other","129,262","±5,258","9.5%","±0.4","88,585","±3,882","6,504","±1,373","8.5%","±1.8","80,887","±13,993"
"        3 or more workers, husband and wife worked","117,622","±5,483","8.6%","±0.4","155,620","±4,239","8,289","±1,384","10.9%","±1.8","121,434","±8,203"
"        3 or more workers, other","35,545","±2,752","2.6%","±0.2","105,375","±5,794","2,102","±550","2.8%","±0.7","95,291","±11,613"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    Total population","5,607,154","*****","5,607,154","*****","36,345","±369","304,633","*****","304,633","*****","29,503","±1,187"
"        One race--","","","","","","","","","","","",""
"            White","4,720,495","±13,280","84.2%","±0.2","38,317","±429","277,607","±2,693","91.1%","±0.9","30,142","±1,320"
"            Black or African American","229,436","±6,270","4.1%","±0.1","26,509","±1,763","3,539","±994","1.2%","±0.3","16,819","±4,457"
"            American Indian and Alaska Native","56,792","±4,293","1.0%","±0.1","23,405","±2,307","1,457","±690","0.5%","±0.2","27,579","±13,993"
"            Asian","179,251","±4,255","3.2%","±0.1","34,833","±1,769","4,851","±735","1.6%","±0.2","34,815","±15,743"
"            Native Hawaiian and Other Pacific Islander","8,400","±1,808","0.1%","±0.1","34,266","±15,743","377","±200","0.1%","±0.1","11,466","±6,103"
"            Some other race","219,189","±11,815","3.9%","±0.2","21,054","±1,214","9,464","±2,563","3.1%","±0.8","19,313","±2,936"
"        Two or more races","193,591","±10,824","3.5%","±0.2","22,519","±2,036","7,338","±1,333","2.4%","±0.4","22,375","±6,318"
"Hispanic or Latino origin (of any race)","1,206,724","*****","21.5%","*****","20,090","±485","89,303","*****","29.3%","*****","16,360","±939"
"White alone, not Hispanic or Latino","3,822,055","±2,897","68.2%","±0.1","42,525","±487","200,567","±335","65.8%","±0.1","35,575","±1,714"
