"Label (Grouping)","Weld County, Colorado!!Number!!Estimate","Weld County, Colorado!!Number!!Margin of Error","Weld County, Colorado!!Percent Distribution!!Estimate","Weld County, Colorado!!Percent Distribution!!Margin of Error","Weld County, Colorado!!Median income (dollars)!!Estimate","Weld County, Colorado!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    Households","123,825","±1,434","123,825","±1,434","91,565","±4,669"
"        One race--","","","","","",""
"            White","98,193","±2,872","79.3%","±2.1","93,153","±5,614"
"            Black or African American","N","N","N","N","126,062","±64,483"
"            American Indian and Alaska Native","N","N","N","N","49,154","±43,917"
"            Asian","N","N","N","N","108,235","±36,110"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","-","**"
"            Some other race","N","N","N","N","79,396","±24,732"
"        Two or more races","13,130","±1,935","10.6%","±1.6","83,480","±14,107"
"        Hispanic or Latino origin (of any race)","28,742","±1,837","23.2%","±1.4","79,727","±8,292"
"        White alone, not Hispanic or Latino","87,727","±2,207","70.8%","±1.6","96,736","±4,815"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","",""
"    15 to 24 years","5,722","±1,178","4.6%","±0.9","49,736","±23,847"
"    25 to 44 years","47,095","±1,997","38.0%","±1.5","100,805","±11,126"
"    45 to 64 years","43,623","±1,620","35.2%","±1.3","107,010","±9,973"
"    65 years and over","27,385","±1,230","22.1%","±1.0","55,300","±7,687"
"FAMILIES","","","","","",""
"    Families","87,314","±3,044","87,314","±3,044","107,850","±6,014"
"        With own children of householder under 18 years","39,680","±2,726","45.4%","±2.6","115,993","±8,670"
"        With no own children of householder under 18 years","47,634","±2,665","54.6%","±2.6","99,701","±7,263"
"        Married-couple families","70,296","±3,357","80.5%","±2.5","118,026","±7,172"
"            With own children under 18 years","31,798","±2,532","36.4%","±2.6","129,115","±8,882"
"        Female householder, no spouse present","10,212","±2,011","11.7%","±2.3","44,608","±8,424"
"            With own children under 18 years","4,435","±1,238","5.1%","±1.4","31,437","±14,383"
"        Male householder, no spouse present","6,806","±1,585","7.8%","±1.8","80,879","±25,359"
"            With own children under 18 years","3,447","±1,076","3.9%","±1.2","68,481","±21,190"
"FAMILY INCOME BY FAMILY SIZE","","","","","",""
"    2-person families","35,395","±2,824","40.5%","±2.8","83,321","±4,265"
"    3-person families","21,610","±2,853","24.7%","±3.1","116,711","±19,694"
"    4-person families","18,648","±2,326","21.4%","±2.7","122,500","±9,075"
"    5-person families","7,240","±1,545","8.3%","±1.7","139,084","±13,671"
"    6-person families","2,458","±913","2.8%","±1.0","92,350","±93,102"
"    7-or-more person families","1,963","±893","2.2%","±1.0","121,204","±67,255"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","",""
"    No earners","10,773","±1,610","12.3%","±1.8","53,376","±5,968"
"    1 earner","21,865","±2,558","25.0%","±2.8","70,838","±9,599"
"    2 earners","39,948","±3,002","45.8%","±3.0","123,454","±6,966"
"    3 or more earners","14,728","±2,218","16.9%","±2.5","153,794","±29,531"
"NONFAMILY HOUSEHOLDS","","","","","",""
"    Nonfamily households","36,511","±2,877","36,511","±2,877","49,908","±7,408"
"        Female householder","18,664","±2,093","51.1%","±4.4","38,534","±5,464"
"            Living alone","14,517","±1,853","39.8%","±4.4","33,332","±5,566"
"            Not living alone","4,147","±1,185","11.4%","±3.1","83,196","±18,847"
"        Male householder","17,847","±2,185","48.9%","±4.4","65,773","±13,830"
"            Living alone","12,632","±1,962","34.6%","±4.6","53,016","±8,399"
"            Not living alone","5,215","±1,424","14.3%","±3.7","100,681","±20,922"
