"Label (Grouping)","Weld County, Colorado!!Total!!Estimate","Weld County, Colorado!!Total!!Margin of Error","Weld County, Colorado!!Median income (dollars)!!Estimate","Weld County, Colorado!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","",""
"Households","102,087","±1,317","63,400","±2,926"
"    One race--","","","",""
"        White","93.6%","±0.7","63,961","±3,315"
"        Black or African American","N","N","102,922","±55,637"
"        American Indian and Alaska Native","N","N","N","N"
"        Asian","N","N","63,827","±12,696"
"        Native Hawaiian and Other Pacific Islander","N","N","-","**"
"        Some other race","N","N","50,556","±12,844"
"    Two or more races","N","N","N","N"
"Hispanic or Latino origin (of any race)","23.0%","±1.2","49,900","±5,847"
"White alone, not Hispanic or Latino","73.3%","±1.2","71,589","±2,280"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","",""
"    15 to 24 years","5.5%","±1.0","22,753","±9,568"
"    25 to 44 years","36.2%","±1.3","71,638","±2,995"
"    45 to 64 years","38.9%","±1.2","74,355","±4,640"
"    65 years and over","19.4%","±0.8","42,981","±4,832"
"FAMILIES","","","",""
"    Families","75,573","±2,400","74,468","±3,047"
"        With own children of householder under 18 years","50.1%","±2.2","73,499","±4,635"
"        With no own children of householder under 18 years","49.9%","±2.2","75,478","±4,108"
"        Married-couple families","81.5%","±2.6","82,375","±4,522"
"        Female householder, no husband present","12.4%","±2.3","43,580","±3,456"
"        Male householder, no wife present","6.1%","±1.2","59,969","±7,673"
"NONFAMILY HOUSEHOLDS","","","",""
"    Nonfamily households","26,514","±2,364","31,031","±4,008"
"        Female householder","50.7%","±3.7","29,044","±5,831"
"            Living alone","39.3%","±4.0","23,938","±3,848"
"            Not living alone","11.4%","±3.0","56,515","±15,593"
"        Male householder","49.3%","±3.7","32,508","±6,036"
"            Living alone","38.7%","±3.8","27,095","±4,338"
"            Not living alone","10.6%","±2.8","60,616","±14,808"
"PERCENT ALLOCATED","","","",""
"    Household income in the past 12 months","37.9%","(X)","(X)","(X)"
"    Family income in the past 12 months","37.5%","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","37.2%","(X)","(X)","(X)"
