"Label (Grouping)","Weld County, Colorado!!Number!!Estimate","Weld County, Colorado!!Number!!Margin of Error","Weld County, Colorado!!Percent Distribution!!Estimate","Weld County, Colorado!!Percent Distribution!!Margin of Error","Weld County, Colorado!!Median income (dollars)!!Estimate","Weld County, Colorado!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    Households","102,046","±544","102,046","±544","74,332","±1,878"
"        One race--","","","","","",""
"            White","91,618","±783","89.8%","±0.7","76,183","±1,671"
"            Black or African American","853","±147","0.8%","±0.1","46,103","±15,942"
"            American Indian and Alaska Native","676","±167","0.7%","±0.2","76,953","±14,721"
"            Asian","1,465","±184","1.4%","±0.2","61,314","±17,502"
"            Native Hawaiian and Other Pacific Islander","106","±55","0.1%","±0.1","47,083","±33,371"
"            Some other race","2,905","±349","2.8%","±0.3","56,841","±6,935"
"        Two or more races","4,423","±561","4.3%","±0.5","66,941","±2,778"
"        Hispanic or Latino origin (of any race)","22,498","±640","22.0%","±0.6","57,087","±2,516"
"        White alone, not Hispanic or Latino","75,128","±728","73.6%","±0.7","81,963","±1,698"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","",""
"    15 to 24 years","3,248","±289","3.2%","±0.3","40,105","±3,388"
"    25 to 44 years","37,676","±656","36.9%","±0.6","81,772","±2,134"
"    45 to 64 years","38,848","±671","38.1%","±0.6","85,795","±2,946"
"    65 years and over","22,274","±586","21.8%","±0.6","47,612","±3,248"
"FAMILIES","","","","","",""
"    Families","75,120","±967","75,120","±967","85,167","±2,062"
"        With own children of householder under 18 years","35,284","±1,017","47.0%","±1.2","82,612","±2,483"
"        With no own children of householder under 18 years","39,836","±1,001","53.0%","±1.2","87,327","±2,729"
"        Married-couple families","60,140","±1,007","80.1%","±1.0","96,003","±2,166"
"            With own children under 18 years","27,249","±882","36.3%","±1.1","97,629","±4,610"
"        Female householder, no spouse present","10,270","±639","13.7%","±0.8","46,674","±3,027"
"            With own children under 18 years","5,717","±565","7.6%","±0.7","38,971","±3,153"
"        Male householder, no spouse present","4,710","±470","6.3%","±0.6","63,576","±7,243"
"            With own children under 18 years","2,318","±380","3.1%","±0.5","57,368","±9,762"
"FAMILY INCOME BY FAMILY SIZE","","","","","",""
"    2-person families","32,284","±988","43.0%","±1.1","80,066","±2,446"
"    3-person families","15,122","±741","20.1%","±1.0","84,417","±4,626"
"    4-person families","15,654","±796","20.8%","±1.1","97,657","±5,273"
"    5-person families","7,905","±523","10.5%","±0.7","87,664","±6,021"
"    6-person families","2,653","±356","3.5%","±0.5","83,965","±4,119"
"    7-or-more person families","1,502","±254","2.0%","±0.3","95,357","±13,117"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","",""
"    No earners","7,616","±574","10.1%","±0.7","45,236","±4,377"
"    1 earner","23,255","±1,059","31.0%","±1.4","60,168","±2,392"
"    2 earners","34,845","±1,189","46.4%","±1.4","102,173","±2,096"
"    3 or more earners","9,404","±574","12.5%","±0.8","120,705","±5,670"
"NONFAMILY HOUSEHOLDS","","","","","",""
"    Nonfamily households","26,926","±963","26,926","±963","40,665","±1,598"
"        Female householder","13,416","±586","49.8%","±1.7","33,857","±1,752"
"            Living alone","11,165","±560","41.5%","±1.7","30,142","±2,591"
"            Not living alone","2,251","±256","8.4%","±1.0","62,775","±6,585"
"        Male householder","13,510","±747","50.2%","±1.7","48,736","±3,417"
"            Living alone","10,065","±691","37.4%","±1.8","40,996","±3,525"
"            Not living alone","3,445","±395","12.8%","±1.4","75,293","±5,333"
