"Label (Grouping)","Weld County, Colorado!!Number!!Estimate","Weld County, Colorado!!Number!!Margin of Error","Weld County, Colorado!!Percent Distribution!!Estimate","Weld County, Colorado!!Percent Distribution!!Margin of Error","Weld County, Colorado!!Median income (dollars)!!Estimate","Weld County, Colorado!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    Households","119,502","±1,547","119,502","±1,547","85,290","±3,604"
"        One race--","","","","","",""
"            White","93,631","±2,626","78.4%","±1.9","89,819","±5,115"
"            Black or African American","N","N","N","N","N","N"
"            American Indian and Alaska Native","N","N","N","N","61,677","±41,483"
"            Asian","N","N","N","N","86,541","±31,927"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","138,914","±1,835"
"            Some other race","8,277","±1,604","6.9%","±1.3","60,084","±21,353"
"        Two or more races","12,578","±2,215","10.5%","±1.9","76,405","±11,782"
"        Hispanic or Latino origin (of any race)","27,913","±1,482","23.4%","±1.2","64,772","±9,123"
"        White alone, not Hispanic or Latino","84,535","±2,105","70.7%","±1.5","94,773","±4,753"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","",""
"    15 to 24 years","5,232","±835","4.4%","±0.7","54,498","±6,048"
"    25 to 44 years","45,221","±1,740","37.8%","±1.3","92,739","±7,545"
"    45 to 64 years","43,862","±1,771","36.7%","±1.5","101,725","±9,124"
"    65 years and over","25,187","±1,420","21.1%","±1.2","55,813","±3,923"
"FAMILIES","","","","","",""
"    Families","86,980","±2,811","86,980","±2,811","97,477","±5,265"
"        With own children of householder under 18 years","39,882","±2,390","45.9%","±2.4","93,729","±4,895"
"        With no own children of householder under 18 years","47,098","±2,643","54.1%","±2.4","103,980","±7,903"
"        Married-couple families","69,306","±2,867","79.7%","±2.1","110,707","±5,797"
"            With own children under 18 years","30,141","±2,250","34.7%","±2.4","106,779","±8,419"
"        Female householder, no spouse present","11,556","±1,638","13.3%","±1.8","48,804","±8,579"
"            With own children under 18 years","6,500","±1,284","7.5%","±1.5","42,843","±9,731"
"        Male householder, no spouse present","6,118","±1,095","7.0%","±1.3","67,100","±11,494"
"            With own children under 18 years","3,241","±899","3.7%","±1.0","69,040","±18,217"
"FAMILY INCOME BY FAMILY SIZE","","","","","",""
"    2-person families","37,105","±2,656","42.7%","±2.5","85,955","±7,806"
"    3-person families","17,803","±1,902","20.5%","±2.2","101,649","±8,575"
"    4-person families","16,942","±2,073","19.5%","±2.3","113,127","±14,771"
"    5-person families","8,343","±1,433","9.6%","±1.7","97,985","±17,538"
"    6-person families","4,330","±1,044","5.0%","±1.2","98,956","±23,140"
"    7-or-more person families","2,457","±1,193","2.8%","±1.3","93,720","±31,000"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","",""
"    No earners","10,543","±1,236","12.1%","±1.4","48,672","±10,205"
"    1 earner","22,689","±2,321","26.1%","±2.5","64,814","±9,556"
"    2 earners","42,016","±2,484","48.3%","±2.3","116,357","±5,235"
"    3 or more earners","11,732","±1,762","13.5%","±2.0","141,563","±19,766"
"NONFAMILY HOUSEHOLDS","","","","","",""
"    Nonfamily households","32,522","±2,556","32,522","±2,556","48,316","±4,671"
"        Female householder","15,588","±1,851","47.9%","±4.1","45,557","±5,158"
"            Living alone","12,196","±1,765","37.5%","±4.5","37,358","±4,761"
"            Not living alone","3,392","±937","10.4%","±2.7","98,545","±12,120"
"        Male householder","16,934","±1,818","52.1%","±4.1","53,140","±4,427"
"            Living alone","11,708","±1,584","36.0%","±4.6","40,211","±7,024"
"            Not living alone","5,226","±1,317","16.1%","±3.6","92,727","±43,350"
