"Label (Grouping)","Weld County, Colorado!!Number!!Estimate","Weld County, Colorado!!Number!!Margin of Error","Weld County, Colorado!!Percent Distribution!!Estimate","Weld County, Colorado!!Percent Distribution!!Margin of Error","Weld County, Colorado!!Median income (dollars)!!Estimate","Weld County, Colorado!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"Households","104,611","±1,323","104,611","±1,323","68,884","±3,482"
"    One race--","","","","","",""
"        White","96,974","±1,487","92.7%","±0.9","70,761","±2,829"
"        Black or African American","N","N","N","N","52,358","±12,532"
"        American Indian and Alaska Native","N","N","N","N","63,705","±37,943"
"        Asian","N","N","N","N","53,507","±22,974"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","-","**"
"        Some other race","N","N","N","N","55,565","±11,924"
"    Two or more races","N","N","N","N","54,487","±16,756"
"Hispanic or Latino origin (of any race)","23,321","±1,515","22.3%","±1.4","48,587","±5,133"
"White alone, not Hispanic or Latino","76,861","±1,699","73.5%","±1.5","77,029","±2,795"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","",""
"    15 to 24 years","4,475","±885","4.3%","±0.8","40,942","±7,969"
"    25 to 44 years","38,659","±1,501","37.0%","±1.3","79,557","±4,370"
"    45 to 64 years","39,405","±1,146","37.7%","±1.1","74,327","±4,479"
"    65 years and over","22,072","±962","21.1%","±0.9","43,844","±5,632"
"FAMILIES","","","","","",""
"    Families","76,368","±1,905","76,368","±1,905","79,403","±2,289"
"        With own children of householder under 18 years","34,279","±2,220","44.9%","±2.5","78,183","±2,274"
"        With no own children of householder under 18 years","42,089","±2,015","55.1%","±2.5","81,140","±3,657"
"        Married-couple families","60,948","±2,118","79.8%","±1.9","87,163","±3,216"
"            With own children under 18 years","26,187","±2,098","34.3%","±2.5","89,650","±5,349"
"        Female householder, no husband present","10,852","±1,451","14.2%","±1.8","42,279","±6,336"
"            With own children under 18 years","5,708","±1,293","7.5%","±1.6","40,928","±8,273"
"        Male householder, no wife present","4,568","±1,038","6.0%","±1.4","56,918","±12,454"
"            With own children under 18 years","2,384","±782","3.1%","±1.0","51,743","±20,839"
"FAMILY INCOME BY FAMILY SIZE","","","","","",""
"    2-person families","(X)","(X)","(X)","(X)","73,817","±5,632"
"    3-person families","(X)","(X)","(X)","(X)","80,058","±4,972"
"    4-person families","(X)","(X)","(X)","(X)","91,756","±12,905"
"    5-person families","(X)","(X)","(X)","(X)","79,476","±11,935"
"    6-person families","(X)","(X)","(X)","(X)","78,954","±9,839"
"    7-or-more person families","(X)","(X)","(X)","(X)","112,542","±37,415"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","",""
"    No earners","7,762","±1,142","10.2%","±1.5","34,741","±7,716"
"    1 earner","23,220","±2,092","30.4%","±2.5","55,669","±7,360"
"    2 earners","34,995","±2,296","45.8%","±2.8","91,793","±2,548"
"    3 or more earners","10,391","±1,464","13.6%","±1.9","109,237","±10,404"
"NONFAMILY HOUSEHOLDS","","","","","",""
"    Nonfamily households","28,243","±1,870","28,243","±1,870","38,495","±3,955"
"        Female householder","13,775","±1,453","48.8%","±4.7","26,250","±5,486"
"            Living alone","10,982","±1,280","38.9%","±4.2","22,010","±2,772"
"            Not living alone","2,793","±667","9.9%","±2.3","60,759","±19,937"
"        Male householder","14,468","±1,779","51.2%","±4.7","46,340","±5,709"
"            Living alone","9,534","±1,370","33.8%","±4.1","37,080","±7,169"
"            Not living alone","4,934","±1,059","17.5%","±3.4","67,945","±9,146"
