"Label (Grouping)","Colorado!!Number!!Estimate","Colorado!!Number!!Margin of Error","Colorado!!Percent Distribution!!Estimate","Colorado!!Percent Distribution!!Margin of Error","Colorado!!Mean income (dollars)!!Estimate","Colorado!!Mean income (dollars)!!Margin of Error","Larimer County, Colorado!!Number!!Estimate","Larimer County, Colorado!!Number!!Margin of Error","Larimer County, Colorado!!Percent Distribution!!Estimate","Larimer County, Colorado!!Percent Distribution!!Margin of Error","Larimer County, Colorado!!Mean income (dollars)!!Estimate","Larimer County, Colorado!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","","","","","",""
"All households","2,139,207","±8,774","2,139,207","±8,774","92,465","±963","134,709","±2,471","134,709","±2,471","89,304","±4,231"
"    With earnings","1,752,070","±11,134","81.9%","±0.3","92,008","±1,034","106,288","±2,862","78.9%","±1.3","89,292","±4,679"
"        With wages or salary income","1,689,644","±11,417","79.0%","±0.4","89,469","±902","102,003","±2,875","75.7%","±1.4","87,480","±4,688"
"        With self-employment income","285,506","±8,121","13.3%","±0.4","35,143","±2,309","18,383","±1,961","13.6%","±1.4","30,868","±4,668"
"    With interest, dividends, or net rental income","514,490","±9,123","24.1%","±0.4","21,371","±1,171","39,056","±2,623","29.0%","±2.0","19,379","±3,243"
"    With Social Security income","551,865","±6,434","25.8%","±0.3","18,980","±233","37,709","±1,492","28.0%","±1.1","19,239","±786"
"    With Supplemental Security Income (SSI)","75,200","±4,159","3.5%","±0.2","10,236","±317","3,372","±920","2.5%","±0.7","10,323","±1,460"
"    With cash public assistance income or Food Stamps/SNAP","175,538","±6,221","8.2%","±0.3","(X)","(X)","9,116","±1,418","6.8%","±1.0","(X)","(X)"
"        With cash public assistance","43,265","±3,272","2.0%","±0.2","2,866","±267","2,135","±710","1.6%","±0.5","2,650","±925"
"    With retirement income","363,360","±6,654","17.0%","±0.3","29,926","±854","24,702","±1,805","18.3%","±1.4","31,600","±3,335"
"    With other types of income","241,947","±6,919","11.3%","±0.3","13,882","±486","15,806","±2,393","11.7%","±1.8","14,930","±2,898"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","","","","","",""
"    All families","1,366,807","±9,822","1,366,807","±9,822","109,022","±1,369","80,859","±2,788","80,859","±2,788","113,024","±6,092"
"        No workers","166,528","±4,876","12.2%","±0.4","62,718","±2,451","12,742","±1,319","15.8%","±1.6","70,434","±8,710"
"        1 worker","414,020","±10,045","30.3%","±0.7","86,998","±2,612","22,415","±1,987","27.7%","±2.3","92,063","±8,859"
"        2 workers, husband and wife worked","503,830","±10,339","36.9%","±0.7","137,046","±2,395","31,696","±2,670","39.2%","±2.9","141,053","±12,251"
"        2 workers, other","129,262","±5,258","9.5%","±0.4","88,585","±3,882","6,036","±1,264","7.5%","±1.6","86,348","±11,210"
"        3 or more workers, husband and wife worked","117,622","±5,483","8.6%","±0.4","155,620","±4,239","6,583","±1,126","8.1%","±1.4","151,927","±17,884"
"        3 or more workers, other","35,545","±2,752","2.6%","±0.2","105,375","±5,794","1,387","±589","1.7%","±0.7","133,957","±33,884"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    Total population","5,607,154","*****","5,607,154","*****","36,345","±369","343,976","*****","343,976","*****","35,923","±1,565"
"        One race--","","","","","","","","","","","",""
"            White","4,720,495","±13,280","84.2%","±0.2","38,317","±429","316,413","±1,870","92.0%","±0.5","36,555","±1,577"
"            Black or African American","229,436","±6,270","4.1%","±0.1","26,509","±1,763","3,881","±709","1.1%","±0.2","19,225","±7,012"
"            American Indian and Alaska Native","56,792","±4,293","1.0%","±0.1","23,405","±2,307","3,058","±1,228","0.9%","±0.4","24,296","±6,192"
"            Asian","179,251","±4,255","3.2%","±0.1","34,833","±1,769","7,315","±986","2.1%","±0.3","46,857","±13,201"
"            Native Hawaiian and Other Pacific Islander","8,400","±1,808","0.1%","±0.1","34,266","±15,743","488","±531","0.1%","±0.2","N","N"
"            Some other race","219,189","±11,815","3.9%","±0.2","21,054","±1,214","3,578","±1,377","1.0%","±0.4","25,666","±7,815"
"        Two or more races","193,591","±10,824","3.5%","±0.2","22,519","±2,036","9,243","±2,160","2.7%","±0.6","21,678","±11,757"
"Hispanic or Latino origin (of any race)","1,206,724","*****","21.5%","*****","20,090","±485","39,371","*****","11.4%","*****","20,496","±1,865"
"White alone, not Hispanic or Latino","3,822,055","±2,897","68.2%","±0.1","42,525","±487","284,126","±713","82.6%","±0.2","38,369","±1,793"
