"Label (Grouping)","Weld County, Colorado!!Total!!Estimate","Weld County, Colorado!!Total!!Margin of Error","Weld County, Colorado!!Median income (dollars)!!Estimate","Weld County, Colorado!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","",""
"Households","92,447","±1,409","55,357","±2,828"
"One race--","","","",""
"    White","87.9%","±1.5","60,223","±2,731"
"    Black or African American","N","N","37,694","±20,847"
"    American Indian and Alaska Native","N","N","16,162","±1,595"
"    Asian","N","N","64,577","±46,783"
"    Native Hawaiian and Other Pacific Islander","N","N","-","**"
"    Some other race","7.9%","±1.4","30,951","±4,582"
"Two or more races","N","N","35,039","±20,758"
"Hispanic or Latino origin (of any race)","21.9%","±1.2","37,400","±5,186"
"White alone, not Hispanic or Latino","75.0%","±1.3","62,726","±4,561"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","",""
"    15 to 24 years","7.6%","±1.0","23,794","±6,286"
"    25 to 44 years","36.1%","±1.1","60,201","±6,201"
"    45 to 64 years","38.6%","±1.1","69,307","±4,893"
"    65 years and over","17.7%","±0.8","39,164","±4,665"
"FAMILIES","","","",""
"    Families","68,084","±2,129","66,124","±2,037"
"        With own children under 18 years","49.9%","±2.1","62,649","±6,464"
"        With no own children under 18 years","50.1%","±2.1","68,573","±4,281"
"    Married-couple families","78.8%","±2.7","73,537","±3,270"
"    Female householder, no husband present","13.8%","±2.3","24,368","±5,863"
"    Male householder, no wife present","7.4%","±1.3","45,578","±10,000"
"NONFAMILY HOUSEHOLDS","","","",""
"    Nonfamily households","24,363","±2,152","30,789","±5,022"
"    Female householder","49.6%","±4.4","26,501","±3,992"
"        Living alone","38.5%","±3.7","24,430","±4,176"
"        Not living alone","11.1%","±2.6","36,511","±11,095"
"    Male householder","50.4%","±4.4","35,077","±8,280"
"        Living alone","36.3%","±4.4","27,116","±9,670"
"        Not living alone","14.1%","±3.8","48,475","±12,099"
"PERCENT IMPUTED","","","",""
"    Household income in the past 12 months","37.3%","(X)","(X)","(X)"
"    Family income in the past 12 months","37.7%","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","33.7%","(X)","(X)","(X)"
