"Label (Grouping)","Weld County, Colorado!!Number!!Estimate","Weld County, Colorado!!Number!!Margin of Error","Weld County, Colorado!!Percent Distribution!!Estimate","Weld County, Colorado!!Percent Distribution!!Margin of Error","Weld County, Colorado!!Median income (dollars)!!Estimate","Weld County, Colorado!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    Households","111,298","±1,402","111,298","±1,402","78,615","±4,124"
"        One race--","","","","","",""
"            White","99,293","±2,107","89.2%","±1.6","80,380","±3,928"
"            Black or African American","N","N","N","N","40,926","±15,707"
"            American Indian and Alaska Native","N","N","N","N","88,829","±23,918"
"            Asian","N","N","N","N","N","N"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","38,902","±704"
"            Some other race","N","N","N","N","53,621","±6,510"
"        Two or more races","N","N","N","N","95,625","±38,434"
"        Hispanic or Latino origin (of any race)","25,106","±1,710","22.6%","±1.4","58,618","±6,136"
"        White alone, not Hispanic or Latino","80,438","±1,722","72.3%","±1.5","87,152","±4,838"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","",""
"    15 to 24 years","3,796","±819","3.4%","±0.7","46,700","±14,112"
"    25 to 44 years","41,910","±1,642","37.7%","±1.4","82,965","±4,192"
"    45 to 64 years","40,827","±1,353","36.7%","±1.2","95,590","±8,319"
"    65 years and over","24,765","±1,031","22.3%","±0.9","46,688","±7,567"
"FAMILIES","","","","","",""
"    Families","81,935","±2,529","81,935","±2,529","92,214","±5,022"
"        With own children of householder under 18 years","38,411","±2,428","46.9%","±2.7","84,339","±5,983"
"        With no own children of householder under 18 years","43,524","±2,648","53.1%","±2.7","96,700","±3,599"
"        Married-couple families","64,804","±3,021","79.1%","±2.7","102,025","±3,644"
"            With own children under 18 years","29,567","±2,164","36.1%","±2.4","104,036","±4,990"
"        Female householder, no spouse present","10,287","±1,504","12.6%","±1.8","44,970","±11,748"
"            With own children under 18 years","5,518","±1,099","6.7%","±1.3","35,613","±7,143"
"        Male householder, no spouse present","6,844","±1,508","8.4%","±1.8","63,555","±13,816"
"            With own children under 18 years","3,326","±1,239","4.1%","±1.5","41,728","±21,217"
"FAMILY INCOME BY FAMILY SIZE","","","","","",""
"    2-person families","35,414","±2,657","43.2%","±2.9","85,869","±5,501"
"    3-person families","15,832","±1,860","19.3%","±2.1","85,924","±20,648"
"    4-person families","17,147","±1,736","20.9%","±2.0","106,323","±10,000"
"    5-person families","8,141","±1,204","9.9%","±1.5","103,144","±5,534"
"    6-person families","3,440","±913","4.2%","±1.1","88,009","±11,386"
"    7-or-more person families","1,961","±690","2.4%","±0.8","65,580","±10,483"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","",""
"    No earners","7,393","±1,152","9.0%","±1.4","45,386","±17,898"
"    1 earner","24,895","±2,505","30.4%","±2.9","61,108","±5,290"
"    2 earners","37,162","±2,561","45.4%","±2.6","113,090","±8,052"
"    3 or more earners","12,485","±1,376","15.2%","±1.7","115,245","±12,433"
"NONFAMILY HOUSEHOLDS","","","","","",""
"    Nonfamily households","29,363","±2,258","29,363","±2,258","40,554","±3,103"
"        Female householder","14,287","±1,775","48.7%","±4.4","33,161","±5,321"
"            Living alone","11,201","±1,405","38.1%","±3.6","29,043","±4,104"
"            Not living alone","3,086","±821","10.5%","±2.6","64,361","±11,100"
"        Male householder","15,076","±1,674","51.3%","±4.4","47,124","±8,599"
"            Living alone","11,479","±1,613","39.1%","±4.6","41,230","±3,792"
"            Not living alone","3,597","±974","12.3%","±3.3","77,493","±18,380"
